Ag,855.531367,,|@misc{wolfram_alpha," title = ""Wolfram Alpha"""," month = ""September"""," year = ""2013"""," url = ""http://www.wolframalpha.org""}|"
Pd,91501.02482,,|@misc{wolfram_alpha," title = ""Wolfram Alpha"""," month = ""September"""," year = ""2013"""," url = ""http://www.wolframalpha.org""}|"
C,24,,|@misc{wikipedia," title = ""Wikipedia"""," month = ""September"""," year = ""2013"""," url = ""http://en.wikipedia.org/wiki/Prices_of_elements_and_their_compounds""}|"
Cl,1.5,,|@misc{wikipedia," title = ""Wikipedia"""," month = ""September"""," year = ""2013"""," url = ""http://en.wikipedia.org/wiki/Prices_of_elements_and_their_compounds""}|"
F,1900,pure F,|@misc{wikipedia," title = ""Wikipedia"""," month = ""September"""," year = ""2013"""," url = ""http://en.wikipedia.org/wiki/Prices_of_elements_and_their_compounds""}|"
Ir,181651.7183,,|@misc{wikipedia," title = ""Wikipedia"""," month = ""September"""," year = ""2013"""," url = ""http://en.wikipedia.org/wiki/Prices_of_elements_and_their_compounds""}|"
K,1000,pure K,|@misc{wikipedia," title = ""Wikipedia"""," month = ""September"""," year = ""2013"""," url = ""http://en.wikipedia.org/wiki/Prices_of_elements_and_their_compounds""}|"
Na,250,,|@misc{wikipedia," title = ""Wikipedia"""," month = ""September"""," year = ""2013"""," url = ""http://en.wikipedia.org/wiki/Prices_of_elements_and_their_compounds""}|"
O,3,,|@misc{wikipedia," title = ""Wikipedia"""," month = ""September"""," year = ""2013"""," url = ""http://en.wikipedia.org/wiki/Prices_of_elements_and_their_compounds""}|"
P,300,,|@misc{wikipedia," title = ""Wikipedia"""," month = ""September"""," year = ""2013"""," url = ""http://en.wikipedia.org/wiki/Prices_of_elements_and_their_compounds""}|"
Pa,280000,,|@misc{wikipedia," title = ""Wikipedia"""," month = ""September"""," year = ""2013"""," url = ""http://en.wikipedia.org/wiki/Prices_of_elements_and_their_compounds""}|"
Sc,3460,,|@misc{wikipedia," title = ""Wikipedia"""," month = ""September"""," year = ""2013"""," url = ""http://en.wikipedia.org/wiki/Prices_of_elements_and_their_compounds""}|"
Xe,1200,,|@misc{wikipedia," title = ""Wikipedia"""," month = ""September"""," year = ""2013"""," url = ""http://en.wikipedia.org/wiki/Prices_of_elements_and_their_compounds""}|"
Al,2.529583994,,|@misc{wolfram_alpha," title = ""Wolfram Alpha"""," month = ""September"""," year = ""2013"""," url = ""http://www.wolframalpha.org""}|"
As,0.641103496,,|@misc{wolfram_alpha," title = ""Wolfram Alpha"""," month = ""September"""," year = ""2013"""," url = ""http://www.wolframalpha.org""}|"
Au,58122.1197,,|@misc{wolfram_alpha," title = ""Wolfram Alpha"""," month = ""September"""," year = ""2013"""," url = ""http://www.wolframalpha.org""}|"
B,0.871045362,,|@misc{wolfram_alpha," title = ""Wolfram Alpha"""," month = ""September"""," year = ""2013"""," url = ""http://www.wolframalpha.org""}|"
Ba,0.2605,,|@misc{wikipedia," title = ""Wikipedia"""," month = ""August"""," year = ""2019"""," url = ""http://en.wikipedia.org/wiki/Prices_of_elements_and_their_compounds""}|"
Be,447.978784,,|@misc{wolfram_alpha," title = ""Wolfram Alpha"""," month = ""September"""," year = ""2013"""," url = ""http://www.wolframalpha.org""}|"
Bi,25.3090376,,|@misc{wolfram_alpha," title = ""Wolfram Alpha"""," month = ""September"""," year = ""2013"""," url = ""http://www.wolframalpha.org""}|"
Br,1.39001291,,|@misc{wolfram_alpha," title = ""Wolfram Alpha"""," month = ""September"""," year = ""2013"""," url = ""http://www.wolframalpha.org""}|"
Ca,4.850164,,|@misc{wolfram_alpha," title = ""Wolfram Alpha"""," month = ""September"""," year = ""2013"""," url = ""http://www.wolframalpha.org""}|"
Cd,2.73,,|@misc{wolfram_alpha," title = ""Wolfram Alpha"""," month = ""September"""," year = ""2013"""," url = ""http://www.wolframalpha.org""}|"
Ce,350.093656,,|@misc{wolfram_alpha," title = ""Wolfram Alpha"""," month = ""September"""," year = ""2013"""," url = ""http://www.wolframalpha.org""}|"
Co,52.21428213,,|@misc{wolfram_alpha," title = ""Wolfram Alpha"""," month = ""September"""," year = ""2013"""," url = ""http://www.wolframalpha.org""}|"
Cr,9.4,,|@misc{wolfram_alpha," title = ""Wolfram Alpha"""," month = ""September"""," year = ""2013"""," url = ""http://www.wolframalpha.org""}|"
Cs,65900.50104,,|@misc{wolfram_alpha," title = ""Wolfram Alpha"""," month = ""September"""," year = ""2013"""," url = ""http://www.wolframalpha.org""}|"
Cu,9.527938039,,|@misc{wolfram_alpha," title = ""Wolfram Alpha"""," month = ""September"""," year = ""2013"""," url = ""http://www.wolframalpha.org""}|"
Dy,500.007816,,|@misc{wolfram_alpha," title = ""Wolfram Alpha"""," month = ""September"""," year = ""2013"""," url = ""http://www.wolframalpha.org""}|"
Er,725.099518,,|@misc{wolfram_alpha," title = ""Wolfram Alpha"""," month = ""September"""," year = ""2013"""," url = ""http://www.wolframalpha.org""}|"
Eu,6499.21976,,|@misc{wolfram_alpha," title = ""Wolfram Alpha"""," month = ""September"""," year = ""2013"""," url = ""http://www.wolframalpha.org""}|"
Fe,0.21099,,|@misc{wolfram_alpha," title = ""Wolfram Alpha"""," month = ""September"""," year = ""2013"""," url = ""http://www.wolframalpha.org""}|"
Ga,688.061902,,|@misc{wolfram_alpha," title = ""Wolfram Alpha"""," month = ""September"""," year = ""2013"""," url = ""http://www.wolframalpha.org""}|"
Gd,399.918068,,|@misc{wolfram_alpha," title = ""Wolfram Alpha"""," month = ""September"""," year = ""2013"""," url = ""http://www.wolframalpha.org""}|"
Ge,1449.978574,,|@misc{wolfram_alpha," title = ""Wolfram Alpha"""," month = ""September"""," year = ""2013"""," url = ""http://www.wolframalpha.org""}|"
Hf,900,,|@misc{wolfram_alpha," title = ""Wolfram Alpha"""," month = ""September"""," year = ""2013"""," url = ""http://www.wolframalpha.org""}|"
Hg,53.7045432,,|@misc{wolfram_alpha," title = ""Wolfram Alpha"""," month = ""September"""," year = ""2013"""," url = ""http://www.wolframalpha.org""}|"
Ho,1199.974666,,|@misc{wolfram_alpha," title = ""Wolfram Alpha"""," month = ""September"""," year = ""2013"""," url = ""http://www.wolframalpha.org""}|"
I,38.0958336,,|@misc{wolfram_alpha," title = ""Wolfram Alpha"""," month = ""September"""," year = ""2013"""," url = ""http://www.wolframalpha.org""}|"
In,720.028892,,|@misc{wolfram_alpha," title = ""Wolfram Alpha"""," month = ""September"""," year = ""2013"""," url = ""http://www.wolframalpha.org""}|"
La,4.85,,|@misc{wolfram_alpha," title = ""Wolfram Alpha"""," month = ""September"""," year = ""2013"""," url = ""http://www.wolframalpha.org""}|"
Li,3.8691081,,|@misc{wolfram_alpha," title = ""Wolfram Alpha"""," month = ""September"""," year = ""2013"""," url = ""http://www.wolframalpha.org""}|"
Lu,7500.11724,,|@misc{wolfram_alpha," title = ""Wolfram Alpha"""," month = ""September"""," year = ""2013"""," url = ""http://www.wolframalpha.org""}|"
Mg,4.960395,,|@misc{wolfram_alpha," title = ""Wolfram Alpha"""," month = ""September"""," year = ""2013"""," url = ""http://www.wolframalpha.org""}|"
Mn,2.06,,|@misc{wolfram_alpha," title = ""Wolfram Alpha"""," month = ""September"""," year = ""2013"""," url = ""http://www.wolframalpha.org""}|"
Mo,41.27053545,,|@misc{wolfram_alpha," title = ""Wolfram Alpha"""," month = ""September"""," year = ""2013"""," url = ""http://www.wolframalpha.org""}|"
N,0.585106148,,|@misc{wolfram_alpha," title = ""Wolfram Alpha"""," month = ""September"""," year = ""2013"""," url = ""http://www.wolframalpha.org""}|"
Nb,42.28,,|@misc{wolfram_alpha," title = ""Wolfram Alpha"""," month = ""September"""," year = ""2013"""," url = ""http://www.wolframalpha.org""}|"
Nd,449.962942,,|@misc{wolfram_alpha," title = ""Wolfram Alpha"""," month = ""September"""," year = ""2013"""," url = ""http://www.wolframalpha.org""}|"
Ni,18.5410967,,|@misc{wolfram_alpha," title = ""Wolfram Alpha"""," month = ""September"""," year = ""2013"""," url = ""http://www.wolframalpha.org""}|"
Os,12860.29864,,|@misc{wolfram_alpha," title = ""Wolfram Alpha"""," month = ""September"""," year = ""2013"""," url = ""http://www.wolframalpha.org""}|"
Pb,2.32058577,,|@misc{wolfram_alpha," title = ""Wolfram Alpha"""," month = ""September"""," year = ""2013"""," url = ""http://www.wolframalpha.org""}|"
Pr,539.911438,,|@misc{wolfram_alpha," title = ""Wolfram Alpha"""," month = ""September"""," year = ""2013"""," url = ""http://www.wolframalpha.org""}|"
Pt,35140.76603,,|@misc{wolfram_alpha," title = ""Wolfram Alpha"""," month = ""September"""," year = ""2013"""," url = ""http://www.wolframalpha.org""}|"
Rb,79699.21762,,|@misc{wolfram_alpha," title = ""Wolfram Alpha"""," month = ""September"""," year = ""2013"""," url = ""http://www.wolframalpha.org""}|"
Re,2843.96318,,|@misc{wolfram_alpha," title = ""Wolfram Alpha"""," month = ""September"""," year = ""2013"""," url = ""http://www.wolframalpha.org""}|"
Rh,607649.1107,,|@misc{wolfram_alpha," title = ""Wolfram Alpha"""," month = ""September"""," year = ""2013"""," url = ""http://www.wolframalpha.org""}|"
Ru,24113.05995,,|@misc{wolfram_alpha," title = ""Wolfram Alpha"""," month = ""September"""," year = ""2013"""," url = ""http://www.wolframalpha.org""}|"
S,0.124009875,,|@misc{wolfram_alpha," title = ""Wolfram Alpha"""," month = ""September"""," year = ""2013"""," url = ""http://www.wolframalpha.org""}|"
Sb,14.29916532,,|@misc{wolfram_alpha," title = ""Wolfram Alpha"""," month = ""September"""," year = ""2013"""," url = ""http://www.wolframalpha.org""}|"
Se,145.9899364,,|@misc{wolfram_alpha," title = ""Wolfram Alpha"""," month = ""September"""," year = ""2013"""," url = ""http://www.wolframalpha.org""}|"
Si,1.5542571,,|@misc{wolfram_alpha," title = ""Wolfram Alpha"""," month = ""September"""," year = ""2013"""," url = ""http://www.wolframalpha.org""}|"
Sm,300.048782,,|@misc{wolfram_alpha," title = ""Wolfram Alpha"""," month = ""September"""," year = ""2013"""," url = ""http://www.wolframalpha.org""}|"
Sn,32.75848751,,|@misc{wolfram_alpha," title = ""Wolfram Alpha"""," month = ""September"""," year = ""2013"""," url = ""http://www.wolframalpha.org""}|"
Sr,1.160071044,,|@misc{wolfram_alpha," title = ""Wolfram Alpha"""," month = ""September"""," year = ""2013"""," url = ""http://www.wolframalpha.org""}|"
Ta,151.8,,|@misc{wolfram_alpha," title = ""Wolfram Alpha"""," month = ""September"""," year = ""2013"""," url = ""http://www.wolframalpha.org""}|"
Tb,1300.064414,,|@misc{wolfram_alpha," title = ""Wolfram Alpha"""," month = ""September"""," year = ""2013"""," url = ""http://www.wolframalpha.org""}|"
Te,348.991346,,|@misc{wolfram_alpha," title = ""Wolfram Alpha"""," month = ""September"""," year = ""2013"""," url = ""http://www.wolframalpha.org""}|"
Th,251.988066,,|@misc{wolfram_alpha," title = ""Wolfram Alpha"""," month = ""September"""," year = ""2013"""," url = ""http://www.wolframalpha.org""}|"
Ti,11.5,,|@misc{wolfram_alpha," title = ""Wolfram Alpha"""," month = ""September"""," year = ""2013"""," url = ""http://www.wolframalpha.org""}|"
Tl,6000.97564,,|@misc{wolfram_alpha," title = ""Wolfram Alpha"""," month = ""September"""," year = ""2013"""," url = ""http://www.wolframalpha.org""}|"
Tm,6499.21976,,|@misc{wolfram_alpha," title = ""Wolfram Alpha"""," month = ""September"""," year = ""2013"""," url = ""http://www.wolframalpha.org""}|"
V,370,,|@misc{wolfram_alpha," title = ""Wolfram Alpha"""," month = ""September"""," year = ""2013"""," url = ""http://www.wolframalpha.org""}|"
W,35.3,,|@misc{wolfram_alpha," title = ""Wolfram Alpha"""," month = ""September"""," year = ""2013"""," url = ""http://www.wolframalpha.org""}|"
Y,31,,|@misc{wolfram_alpha," title = ""Wolfram Alpha"""," month = ""September"""," year = ""2013"""," url = ""http://www.wolframalpha.org""}|"
Yb,1599.892734,,|@misc{wolfram_alpha," title = ""Wolfram Alpha"""," month = ""September"""," year = ""2013"""," url = ""http://www.wolframalpha.org""}|"
Zn,2.949564603,,|@misc{wolfram_alpha," title = ""Wolfram Alpha"""," month = ""September"""," year = ""2013"""," url = ""http://www.wolframalpha.org""}|"
Zr,36,,|@misc{wolfram_alpha," title = ""Wolfram Alpha"""," month = ""September"""," year = ""2013"""," url = ""http://www.wolframalpha.org""}|"
He,15.9,,|@misc{wolfram_alpha," title = ""Wolfram Alpha"""," month = ""June"""," year = ""2020"""," url = ""http://www.wolframalpha.org""}|"
H,1.4,,|@misc{wikipedia," title = ""Wikipedia"""," month = ""June"""," year = ""2020"""," url = ""https://en.wikipedia.org/wiki/Hydrogen_economy#Costs""}|"
Ar,19.56,,|@misc{internet_search," title = ""Aqua-Calc"""," month = ""June"""," year = ""2020"""," url = ""https://www.aqua-calc.com/calculate/materials-price/substance/argon""}|"
Ne,660000,,|@misc{internet_search," title = ""Pomona College"""," month = ""June"""," year = ""2020"""," url = ""http://www.chemistry.pomona.edu/chemistry/periodic_table/elements/neptunium/the%20facts.htm""}|"
Kr,330,,|@misc{internet_search," title = ""Chemicool"""," month = ""June"""," year = ""2020"""," url = ""https://www.chemicool.com/elements/krypton.html""}|"
Tc,100000,,|@misc{internet_search," title = ""Radiochemistry.org"""," month = ""June"""," year = ""2020"""," url = ""https://www.radiochemistry.org/periodictable/elements/43.html""}|"